fires slow explosive cannonballs,пожари бавни експлозивни оръдия,火焰缓慢的爆炸炮弹,ohně pomalé výbušné dělové koule,ild langsomt eksplosive kanonkugler,branden langzaam explosieve kanonskogels,tulipalot hitaasti räjähtävät tykkipallot,Feuille les boules de canon explosives lentes,Brände langsame explosive Kanonenkugeln,πυρκαγιές αργές εκρηκτικές πυροβόες,आग धीमी गति से विस्फोटक तोप,lassú robbanásveszélyes ágyúgolyók,incendi lenta palle di cannone esplosive,ゆっくりと爆発的なキャノンボールを発射します,느리게 폭발성 대포를 불고 있습니다,Branner sakte eksplosive kanonkuler,strzela powolne wybuchowe kule armatni,Fogo lento balas de canhão explosivo,ਹੌਲੀ ਵਿਸਫੋਟਕ ਤੋਪਾਂਬੱਲ ਨੂੰ ਅੱਗ ਲਗਾਓ,Incendii de tunuri de tunuri explozive lente,Пожары медленные взрывные пушкины,incendios balas de cañón lentas explosivas,bränder långsamt explosiva kanonkulor,ยิงปืนใหญ่ที่ระเบิดได้ช้า,Yavaş patlayıcı top toplarını ateşler,пожежі повільні вибухонебезпечні гарматні кулі,bắn những quả đạn đại bác chậm
ice,лед,冰,led,is,ijs,jäätyä,glace,Eis,πάγος,बर्फ़,jég,ghiaccio,氷,얼음,is,lód,gelo,ਬਰਫ,gheaţă,лед,hielo,is,น้ำแข็ง,buz,крижаний,đá
fist,юмрук,拳头,pěst,næve,vuist,nyrkki,poing,Faust,γροθιά,मुट्ठी,ököl,pugno,拳,주먹,neve,pięść,punho,ਮੁੱਠੀ,pumn,кулак,puño,näve,กำปั้น,yumruk,кулак,nắm tay
weakens enemies and does huge damage,отслабва враговете и нанася огромни щети,削弱敌人并造成巨大伤害,oslabuje nepřátele a způsobí obrovské poškození,svækker fjender og gør enorme skader,verzwakt vijanden en brengt enorme schade aan,heikentää vihollisia ja aiheuttaa valtavia vahinkoja,affaiblit les ennemis et fait d'énormes dégâts,schwäert Feinde und verursacht großen Schaden,αποδυναμώνει τους εχθρούς και κάνει τεράστιες ζημιές,दुश्मनों को कमजोर करता है और भारी क्षति करता है,gyengíti az ellenségeket és óriási károkat okoz,indebolisce i nemici e infligge un danno enorme,敵を弱め、大きなダメージを与えます,적을 약화시키고 큰 피해를 입 힙니다,svekker fiender og gjør store skader,osłabia wrogów i wyrządza ogromne obrażenia,enfraquece inimigos e causar grandes danos,ਦੁਸ਼ਮਣਾਂ ਨੂੰ ਕਮਜ਼ੋਰ ਕਰਦਾ ਹੈ ਅਤੇ ਬਹੁਤ ਵੱਡਾ ਨੁਕਸਾਨ ਕਰਦਾ ਹੈ,slăbește dușmanii și face daune uriașe,ослабляет врагов и наносит огромный ущерб,debilita los enemigos y hace un gran daño,försvagar fiender och gör enorma skador,อ่อนแอศัตรูและสร้างความเสียหายอย่างมาก,düşmanları zayıflatır ve büyük hasar verir,послаблює ворогів і завдає величезної шкоди,làm suy yếu kẻ thù và gây sát thương rất lớn
fridge,хладилник,冰箱,lednička,køleskab,koelkast,jääkaappi,réfrigérateur,Kühlschrank,ψυγείο,फ़्रिज,hűtő,frigo,冷蔵庫,냉장고,kjøleskap,lodówka,geladeira,ਫਰਿੱਜ,frigider,холодильник,refrigerador,kylskåp,ตู้เย็น,buzdolabı,холодильник,tủ lạnh
opens and does slow effect in range,се отваря и прави бавен ефект в обхвата,打开并在范围内效果缓慢,otevírá a pomalý účinek v dosahu,åbner og gør langsom effekt inden for rækkevidde,Opent en doet een vertraging in bereik,aukeaa ja vaikuttaa hitaasti alueella,ouvre et fait un effet lent dans la plage,öffnet sich und wirkt sich langsam im Bereich aus,Ανοίγει και έχει αργή επίδραση στην εμβέλεια,खुलता है और रेंज में धीमा प्रभाव करता है,kinyílik és lassú hatást gyakorol a tartományban,si apre e fa un effetto lento nella portata,範囲で効果が遅くなり、遅くなります,열리고 범위에서 느리게 효과가 있습니다,åpner og gjør langsom effekt innen rekkevidde,otwiera się i spowolnia w zakresie w zakresie,abre e faz efeito lento no alcance,ਖੁੱਲ੍ਹਦਾ ਹੈ ਅਤੇ ਹੌਲੀ ਪ੍ਰਭਾਵ ਸੀਮਾ ਵਿੱਚ ਕਰਦਾ ਹੈ,se deschide și are un efect lent în raza de acțiune,открывается и медленно влияет на диапазон,abre y hace un efecto lento en el rango,öppnar och gör långsam effekt inom räckvidden,เปิดและทำเอฟเฟกต์ช้าในช่วง,menzilde açılır ve yavaş etki yapar,відкривається і робить повільний ефект у діапазоні,mở ra và không hiệu quả chậm trong phạm vi
amp,усилвател,放大器,zesilovač,amp,versterking,vahvistin,ampli,Ampere,αμπέραζ,एम्प,erősítő,amp,アンプ,앰프,forsterker,wzmacniacz,Amp,amp,amperi,усилитель,amperio,förstärkare,แอมป์,amp,підсилювач,amp
weakens all enemies in radius,отслабва всички врагове в радиус,削弱半径中的所有敌人,oslabuje všechny nepřátele v poloměru,svækker alle fjender i radius,verzwakt alle vijanden in straal,heikentää kaikkia vihollisia säteellä,Affaiblit tous les ennemis dans le rayon,schwägt alle Feinde im Radius,αποδυναμώνει όλους τους εχθρούς σε ακτίνα,त्रिज्या में सभी दुश्मनों को कमजोर करता है,gyengíti az összes ellenséget sugárban,indebolisce tutti i nemici nel raggio,半径のすべての敵を弱めます,반경에서 모든 적을 약화시킵니다,svekker alle fiender i radius,osłabia wszystkich wrogów w promieniu,enfraquece todos os inimigos no raio,ਸਾਰੇ ਦੁਸ਼ਮਣਾਂ ਨੂੰ ਰੇਡੀਅਸ ਵਿਚ ਕਮਜ਼ੋਰ ਕਰ ਦਿੰਦਾ ਹੈ,slăbește toți dușmanii din rază,ослабляет всех врагов в радиусе,debilita a todos los enemigos en radio,försvagar alla fiender i radie,ทำให้ศัตรูทั้งหมดอ่อนแอลงในรัศมี,yarıçaptaki tüm düşmanları zayıflatır,послаблює всіх ворогів у радіусі,Làm suy yếu tất cả kẻ thù trong bán kính
burner,горелка,刻录机,hořák,brænder,brander,poltin,brûleur,Brenner,καυστήρας,बर्नर,égő,bruciatore,バーナー,연소기,brenner,palnik,queimador,ਬਰਨਰ,arzător,горелка,quemador,brännare,เครื่องเขียน,brülör,пальник,đầu đốt
burns adjacent tiles,Изгаряния прилежащи плочки,燃烧相邻的瓷砖,Popálení sousedních dlaždic,brænder tilstødende fliser,brandt aangrenzende tegels,Palaa vierekkäisiä laattoja,brûle les carreaux adjacents,Brennt angrenzende Fliesen,καίει γειτονικά κεραμίδια,आसन्न टाइलों को जलाता है,éget a szomszédos csempe,Burns piastrelle adiacenti,隣接するタイルを燃やします,인접한 타일을 태 웁니다,forbrenner tilstøtende fliser,Płoną sąsiednie płytki,Queimaduras adjacentes,ਨਾਲ ਲੱਗਦੀ ਟਾਈਲਾਂ,arsuri plăci adiacente,Ожоги прилегающих плиток,Burns adyacentes azulejos,brännskador intilliggande brickor,กระเบื้องที่อยู่ติดกัน,bitişik fayansları yakar,Опіки сусідніх плиток,đốt gạch liền kề
volcano,вулкан,火山,sopka,vulkan,vulkaan,tulivuori,volcan,Vulkan,ηφαίστειο,ज्वर भाता,vulkán,vulcano,火山,화산,vulkan,wulkan,vulcão,ਜੁਆਲਾਮੁਖੀ,vulcan,вулкан,volcán,vulkan,ภูเขาไฟ,volkan,вулкан,Núi lửa
spills hot lava onto adjacent tiles,Разлива гореща лава върху съседни плочки,将热熔岩洒到相邻的瓷砖上,rozlije horkou lávu na sousední dlaždice,Spild varm lava på tilstødende fliser,Morst hete lava op aangrenzende tegels,vuotaa kuumaa laavaa vierekkäisiin laattoihin,Déverse de lave chaude sur les carreaux adjacents,Verschütten heiße Lava auf angrenzende Fliesen,διαρρέει καυτή λάβα σε παρακείμενα κεραμίδια,आसन्न टाइलों पर गर्म लावा फैलता है,Forró lávát ömlött a szomszédos csempékre,versa la lava calda su piastrelle adiacenti,隣接するタイルに熱い溶岩をこぼします,인접한 타일에 뜨거운 용암을 흘립니다,søler varm lava på tilstøtende fliser,Wylewa gorącą lawę na sąsiednie kafelki,derrama lava quente em ladrilhos adjacentes,ਗਰਮ ਲਾਵਾ ਨੂੰ ਨਾਲ ਲੱਗਦੀਆਂ ਟਾਈਲਾਂ ਤੇ ਵੰਡੋ,vărsă lavă fierbinte pe plăci adiacente,Выливать горячую лаву на соседнюю плитку,Derrilla lava caliente sobre baldosas adyacentes,spill het lava på angränsande brickor,ลาวาที่รั่วไหลออกมาบนกระเบื้องที่อยู่ติดกัน,Sıcak lavları bitişik fayanslara döker,розливає гарячу лаву на сусідні плитки,làm đổ dung nham nóng lên gạch liền kề
pot,Пот,锅,hrnec,gryde,pot,potti,pot,Topf,δοχείο,मटका,edény,vaso,ポット,냄비,gryte,garnek,Panela,ਘੜੇ,oală,горшок,maceta,pott,หม้อ,tencere,каструль,nồi
tips out boiling oil onto close tiles,Наглажда врящо масло върху близки плочки,提示将油沸腾到封闭的瓷砖上,nakloní vroucí olej na těsné dlaždice,Tips ud kogende olie på tætte fliser,Tipt kokende olie op dichtbij tegels,vinkkejä kiehuvasta öljystä läheisiin laattoihin,Fonge de l'huile bouillante sur des carreaux fermés,Spitzen Sie kochendes Öl auf enge Fliesen aus,Συμβουλές από βραστό λάδι σε κλείσιμα κεραμίδια,नजदीकी टाइलों पर उबलते तेल को टिप्स,Tippek forrásban lévő olajat a bezáró csempékre,calcola olio bollente su piastrelle ravvicinate,近くのタイルに沸騰したオイルを傾けます,끓는 오일을 닫는 타일에 팁을줍니다,Tips ut kokende olje på nære fliser,Wskazuje gotowanie oleju na bliskie płytki,dicas de óleo fervente em azulejos fechados,ਟਾਈਲਾਂ ਤੇ ਉਬਲਦੇ ਤੇਲ ਨੂੰ ਬਾਹਰ ਕੱ qu ਣਾ,Sfaturi ieșiți ulei de fierbere pe plăci apropiate,Советы с кипящим маслом на закрытые плитки,punta de aceite hirviendo sobre baldosas cerradas,Tipsar kokande olja på nära brickor,เคล็ดลับการใช้น้ำมันเดือดลงบนกระเบื้องปิด,Yağın yakın fayanslara kaynar yağı ipuçları,підказки на киплячій олії на близькі плитки,Mẹo ra dầu sôi lên gạch gần
wizardtower,Wizardtower,wizardtower,Průvodce,Wizardtower,tovenaarstoren,velho,Tour de magicien,Zauberer turm,πύργος του μάγου,जादूगर टॉवर,varázslórész,WizardTower,ウィザードタワー,마법사,WizardTower,wieża Czarodzieja,Torre de feiticeiro,ਜਾਦੂਗਰ,Turnul Vrăjitorilor,Wizardtower,pañuelo,trollkarl,พ่อมด,büyücü kulesi,майстер,Tháp phù thủy
shoots chain lightning projectiles,изстрелва верижна мълния снаряди,射击链闪电弹丸,střílí řetězové projektily Lightning,Skyder kæde lynprojektiler,schiet ketting bliksemprojectielen,ampua ketjun salaman ammuksia,tire des projectiles de la chaîne de chaîne,schießt Kettenblitzprojektile,Πυροβολικά βλήματα αστραπής αλυσίδας,चेन लाइटनिंग प्रोजेक्टाइल को शूट करता है,Láncolja a lánc villám lövedékeket,Shoots Chain Lightning Projectiles,チェーン稲妻発射体を撃ちます,체인 번개 발사체를 촬영합니다,skyter kjede lynprosjektiler,Pociski Błyskawicy,Atira projéteis de raios de corrente,ਕੁੱਟਣ ਬਿਜਲੀ ਬਿਜਲੀ ਦੀਆਂ ਪ੍ਰਾਜੈਕਟਾਈਲ,filmează proiectile de fulgere în lanț,стреляет сеть молниеносных снарядов,dispara proyectiles de lámparas de cadena,Skottskedjan blixtnedslagsprojektiler,ยอดขีปนาวุธสายฟ้าผ่าลูกโซ่,zincir şimşek mermileri atar,знімає ланцюгові блискавки снаряди,Chồi những tia sét chuỗi
shotgun,Пушка,shot弹枪,brokovnice,haglgevær,jachtgeweer,haulikko,fusil à pompe,Schrotflinte,κυνηγετικό όπλο,बन्दूक,sörétes puska,fucile,ショットガン,산탄 총,hagle,strzelba,espingarda,ਸ਼ਾਟਗਨ,pușcă,дробовик,escopeta,hagelgevär,ปืนลูกซอง,pompalı tüfek,рушниця,Súng ngắn
shoots a spray of bullets close range,изстрелва спрей от куршуми отблизо,射击子弹近距离射程,střílí sprej kulků zblízka,Skyder en spray af kugler tæt hold,Schiet een spray van kogels dichtbij,ampuu summan luodien läheltä,tire une pulvérisation de balles rapprochées,schießt einen Spray aus Kugeln aus der Nähe,Πυροβολεί ένα σπρέι από σφαίρες κοντά,गोलियों के करीब रेंज का एक स्प्रे शूट करता है,Bővek egy permetű golyó közelében,spara uno spruzzo di proiettili ravvicinati,弾丸の近距離のスプレーを撃ちます,총알 스프레이 근거리 범위를 촬영합니다,skyter en spray av kuler nær rekkevidde,strzela do sprayu pocisków bliskiej odległości,dispara um spray de balas próximas,ਬੁਲੇਟਸ ਦੀ ਸਪਰੇਅ ਨੂੰ ਬੰਦ ਕਰੋ,trage un spray de gloanțe aproape,стреляет спрей пуль в близком расстоянии,dispara un rocío de balas a corta distancia,skjuter en spray av kulor nära räckvidd,ยิงสเปรย์ของระยะใกล้กระสุนปืน,Yakın menzil bir mermi spreyi çekiyor,знімає бризку кулей близького діапазону,Bắn một bình đạn
hose,маркуч,软管,hadice,Slang,slang,letku,tuyau,Schlauch,μάνικα,नली,tömlő,tubo flessibile,ホース,호스,slange,wąż gumowy,mangueira,ਹੋਜ਼,furtun,шланг,manguera,slang,ท่อ,hortum,шланг,vòi nước
blackhole,Черна дупка,黑洞,Černá díra,Sort hul,Zwartgat,Musta aukko,Trou noir,Schwarzes Loch,Μαύρη τρύπα,ब्लैक होल,Fekete lyuk,Buco nero,ブラックホール,블랙홀,Svart hull,Czarna dziura,Blackhole,ਕਾਲਾ ਮੋਰੀ,Gaură neagră,Черная дыра,Agujero negro,Svart hål,หลุมดำ,Kara delik,Чорна діра,Hố đen
sucks nearby enemies in to the centre,гадно наблизо врагове до центъра,吮吸附近的敌人到中心,Nasává nedaleké nepřátele do centra,suger fjender i nærheden i centrum,Zuigt in de buurt vijanden in het centrum,imee lähellä olevia vihollisia keskustaan,suce les ennemis à proximité au centre,saugt in der Nähe Feinde in das Zentrum,χάλια στους κοντινούς εχθρούς στο κέντρο,केंद्र में आस -पास के दुश्मनों को चूसता है,Szopja a közeli ellenségeket a központba,Succhia nemici vicini al centro,近くの敵をセンターに吸い込みます,근처의 적을 중앙에 빨아 들여다,suger fiender i nærheten til sentrum,ssie pobliskich wrogów do centrum,suga inimigos próximos no centro,ਕੇਂਦਰ ਵਿੱਚ ਨੇੜਲੇ ਦੁਸ਼ਮਣਾਂ ਨੂੰ ਚੂਸਦਾ ਹੈ,e de rahat în apropiere dușmani în centru,отстой поблизости врагов в центре,apesta enemigos cercanos al centro,suger i närheten av fienderna i centrum,ดูดศัตรูที่อยู่ใกล้ ๆ ไปที่ศูนย์,Merkeze yakın düşmanları berbat,Смокче поблизу ворогів до центру,hút kẻ thù gần đó vào trung tâm
cloud,Облак,云,mrak,Sky,wolk,pilvi,nuage,Wolke,σύννεφο,बादल,felhő,nuvola,雲,구름,Sky,Chmura,nuvem,ਬੱਦਲ,nor,облако,nube,moln,คลาวด์,bulut,хмара,đám mây
weight,тегло,重量,hmotnost,vægt,gewicht,paino,lester,Gewicht,βάρος,वज़न,súly,peso,重さ,무게,vekt,waga,peso,ਭਾਰ,greutate,масса,peso,vikt,น้ำหนัก,ağırlık,вага,cân nặng
speedgun,Speedgun,Speedgun,Speedgun,Speedgun,speedgun,nopeuspinta,speedgun,Speedegun,ταχύργιος ταχύτητας,स्पीडगुन,gyorsfegyver,Speedgun,スピードガン,Speedgun,Speedgun,Speedgun,Speedgun,ਸਪੀਡਗਨ,Speedgun,Спиджен,pistola,snabbvägg,ปืนพก,hız sapı,спідниця,Speedgun
ground,земя,地面,přízemní,jord,grond,pohja,sol,Boden,έδαφος,ज़मीन,talaj,terra,接地,지면,bakke,grunt,chão,ਜ਼ਮੀਨ,sol,земля,suelo,jord,พื้น,zemin,земля,đất
air,въздух,空气,vzduch,luft,lucht,ilma,air,Luft,αέρας,वायु,levegő,aria,空気,공기,luft,powietrze,ar,ਹਵਾ,aer,воздух,aire,luft,อากาศ,hava,повітря,không khí
ground/air,Земя/въздух,地面/空气,země/vzduch,jorden/luft,grond/lucht,maa-/ilma,terre / air,Boden/Luft,εδάφιο/αέρας,ग्राउंड/एयर,földi/levegő,terra/aria,地面/空気,지상/공기,bakken/luft,uziemienie/powietrze,terra/ar,ਗਰਾਉਂਡ / ਹਵਾ,sol/aer,земля/воздух,tierra/aire,mark/luft,พื้นดิน/อากาศ,Zemin/Hava,земля/повітря,mặt đất/không khí
Targets,Цели,目标,Cíle,Mål,Doelen,Kohteet,Cibles,Ziele,Στόχευση,लक्ष्यों को,Célok,Obiettivi,ターゲット,목표,Mål,Cele,Alvos,ਟੀਚਿਆਂ,Ținte,Цели,Objetivos,Mål,เป้าหมาย,Hedefler,Цілі,Mục tiêu
range,обхват,范围,rozsah,rækkevidde,bereik,etäisyys,gamme,Bereich,εύρος,श्रेणी,hatótávolság,allineare,範囲,범위,område,zakres,faixa,ਸੀਮਾ,gamă,диапазон,rango,räckvidd,พิสัย,menzil,діапазон,phạm vi
firerate,порази,解雇,Střelé,Firerate,uiteenzetten,ampua,exciter,Schussrate,ποσοστό πυρκαγιάς,अग्नि दर,tüzelési sebesség,Fire,firerate,화재,Firerat,Firerate,fogo,ਅੱਗ ਦੀ ਦਰ,foc,скорострельность,velocidad de fuego,frimurera,เปล่งประกาย,ateşli,скорострільність,linh hoạt
effect duration,Продължителност на ефекта,效应持续时间,doba trvání efektu,Effekt varighed,effectduur,vaikutuksen kesto,durée de l'effet,Effektdauer,διάρκεια επίδρασης,प्रभाव अवधि,hatás időtartama,durata dell'effetto,効果期間,효과 지속 시간,Effektvarighet,Czas trwania efektu,duração do efeito,ਪ੍ਰਭਾਵ ਅਵਧੀ,durata efectului,продолжительность эффекта,Duración del efecto,effektvaraktighet,ระยะเวลาเอฟเฟกต์,Etki Süresi,Тривалість ефекту,thời gian hiệu quả
bullet speed,скорост на куршума,子弹速度,Rychlost kulky,kuglehastighed,kogel snelheid,luodin nopeus,vitesse de balle,Kugelgeschwindigkeit,ταχύτητα σφαίρας,गोली की गति,golyósebesség,velocità del proiettile,弾丸の速度,총알 속도,Kulehastighet,prędkość pocisku,Velocidade da bala,ਬੁਲੇਟ ਦੀ ਗਤੀ,viteza glontului,скорость пули,velocidad de la bala,kula hastighet,กระสุนปืน,mermi hızı,Швидкість кулі,tốc độ đạn
explosion radius,Радиус на експлозия,爆炸半径,poloměr výbuchu,Eksplosionsradius,explosiestraal,räjähdyssäde,rayon d'explosion,Explosionsradius,ακτίνα έκρηξης,विस्फोट त्रिज्या,robbanási sugár,raggio di esplosione,爆発半径,폭발 반경,Eksplosjonsradius,promień eksplozji,raio de explosão,ਧਮਾਕਾ ਘੇਰੇ,Raza exploziei,Радиус взрыва,radio de explosión,explosionradie,รัศมีการระเบิด,patlama yarıçapı,радіус вибуху,Bán kính nổ
doesn't change,не се променя,不会改变,se nemění,ændrer sig ikke,verandert niet,ei muutu,ne change pas,ändert sich nicht,δεν αλλάζει,नहीं बदलता,nem változik,non cambia,変わりません,변경되지 않습니다,Endrer ikke,Nie zmienia się,não muda,ਨਹੀਂ ਬਦਲਦਾ,nu se schimbă,не меняется,no cambia,förändras inte,ไม่เปลี่ยนแปลง,değişmiyor,не змінюється,không thay đổi
max chains,Макс вериги,最大链,max řetězy,maksimale kæder,maximale ketens,max -ketjut,chaînes maximales,Max -Ketten,μέγιστες αλυσίδες,मैक्स चेन,max láncok,Catene massime,マックスチェーン,맥스 체인,Maks kjeder,Max łańcuchy,Correntes máximas,ਮੈਕਸ ਚੇਨ,lanțuri maxime,максимальные цепи,cadenas máximas,maxkedjor,โซ่สูงสุด,Max Zincirleri,максимальні ланцюги,chuỗi tối đa
pool duration,Продължителност на басейна,泳池持续时间,Doba trvání bazénu,Poolvarighed,zwembadduur,uima -altaan kesto,durée de la piscine,Pooldauer,διάρκεια της πισίνας,पूल -अवधि,medence időtartama,durata della piscina,プール期間,수영장 기간,Bassengets varighet,Czas trwania puli,duração da piscina,ਪੂਲ ਅੰਤਰਾਲ,Durata piscinei,Продолжительность бассейна,duración de la piscina,poolens varaktighet,ระยะเวลาของสระว่ายน้ำ,havuz süresi,Тривалість басейну,thời lượng hồ bơi
slow speed,ниска скорост,速度慢,pomalá rychlost,langsom hastighed,lage snelheid,hidas nopeus,vitesse lente,langsame Geschwindigkeit,αργή ταχύτητα,धीमी गति,lassú sebesség,bassa velocità,ゆっくり,느린 속도,Lav hastighet,niska prędkość,velocidade lenta,ਹੌਲੀ ਗਤੀ,viteza mica,медленная скорость,velocidad lenta,låg hastighet,ความเร็วช้า,yavaş hız,повільна швидкість,tốc độ chậm
money gain,Печалба с пари,收益,zisk peněz,penge gevinst,geldwinst,rahan voitto,gain d'argent,Geldgewinn,κέρδος κέρδους,धन लाभ,pénzszerzés,guadagno di denaro,お金の利益,돈 이득,Penger gevinst,Zysk pieniądze,ganho de dinheiro,ਪੈਸੇ ਦਾ ਲਾਭ,câștig de bani,деньги,ganancia de dinero,penningvinst,ได้รับเงิน,para kazancı,Грошові прибуток,tăng tiền
can shoot ground units,Може да стреля наземни единици,可以射击地面单位,může střílet pozemní jednotky,kan skyde jordenheder,kan grondeenheden schieten,voi ampua maayksiköitä,Peut tirer des unités de terre,können Bodeneinheiten schießen,Μπορεί να πυροβολήσει μονάδες εδάφους,जमीन इकाइयों को शूट कर सकते हैं,Lövi a földi egységeket,può sparare unità di terra,地上ユニットを撃つことができます,지상 유닛을 촬영할 수 있습니다,kan skyte bakkeenheter,może strzelać do jednostek naziemnych,pode disparar unidades terrestres,ਜ਼ਮੀਨੀ ਇਕਾਈਆਂ ਨੂੰ ਸ਼ੂਟ ਕਰ ਸਕਦਾ ਹੈ,Poate trage unități la sol,может стрелять в наземные единицы,puede disparar unidades terrestres,kan skjuta markenheter,สามารถยิงหน่วยพื้นดินได้,Zemin birimleri çekebilir,може стріляти наземними одиницями,có thể bắn các đơn vị mặt đất
speed increase,Увеличаване на скоростта,速度增加,Zvýšení rychlosti,Hastighedsforøgelse,snelheidsverhoging,nopeuden lisääntyminen,augmentation de vitesse,Geschwindigkeitssteigerung,αύξηση ταχύτητας,गति वृद्धि,sebességnövekedés,aumento della velocità,速度の上昇,속도 증가,hastighetsøkning,Wzrost prędkości,aumento da velocidade,ਸਪੀਡ ਵਾਧਾ,creșterea vitezei,Увеличение скорости,Aumento de la velocidad,hastighetsökning,เพิ่มความเร็ว,hız artışı,Збільшення швидкості,Tăng tốc độ
push strength,Натиснете силата,推力,tlačit sílu,Skub styrke,kracht duwen,työntövoimakkuus,se forger,Kraftschub,ώθηση,धक्का -मुक्की,tolóerő,spingere la forza,強度を押す,힘을 푸시하십시오,skyv styrke,Push Siła,empurrar força,ਤਾਕਤ ਧੱਕੋ,Împingeți puterea,проталкивать силу,empujar la fuerza,trycka styrka,แรงผลักดัน,itme gücü,просунути силу,Đẩy sức mạnh
burn multiplier,Изгаряне на мултипликатор,燃烧乘数,Spálit multiplikátor,Brænd multiplikator,Verbranding multiplier,polttaa kertoimet,multiplicateur de brûlure,Multiplikator verbrennen,καίγοντας πολλαπλασιαστής,जला हुआ गुणक,égési szorzó,Brucia il moltiplicatore,燃焼乗数,배수를 굽습니다,Burn Multiplier,spal mnożnik,Multiplicador de queima,ਬਰਨ ਗੁਣਕ,multiplicator de ardere,сжигать множитель,Multiplicador de quemaduras,brännmultiplikator,เบิร์นทวีคูณ,yanma çarpanı,Опікове мультиплікатор,Đốt số nhân
pull strength,Издърпайте силата,拉力,Vytáhněte sílu,Træk styrke,treksterkte,vetää lujuus,tirer la force,Kraft ziehen,τραβήξτε δύναμη,ताकत देना,erőt húz,tira la forza,強さを引きます,강도를 당기십시오,Trekk styrke,ciągnij siłę,puxe a força,ਤਾਕਤ ਖਿੱਚੋ,Trageți puterea,потянуть силу,fuerza,dra styrka,ดึงความแข็งแรง,güç çekmek,витягнути силу,Kéo sức mạnh
effects multiplier,Ефекти Мултипликатор,效果乘数,multiplikátor efektů,Effekter multiplikator,Effecten vermenigvuldiger,Vaikutuskertoimet,multiplicateur d'effets,Effekt -Multiplikator,εφέ πολλαπλασιαστής,प्रभाव गुणक,effektusok szorzója,moltiplicatore di effetti,効果乗数,미화 승수,Effekter multiplikator,mnożnik efektów,Multiplicador de efeitos,ਪ੍ਰਭਾਵ ਗੁਣ,multiplicator de efecte,эффекты множитель,Multiplicador de efectos,Effekter multiplikator,เอฟเฟกต์ทวีคูณ,Etkiler çarpanı,множник ефектів,Hiệu ứng số nhân
tower multiplier,Мултипликатор на кулата,塔乘数,Multiplikátor věže,Tower multiplikator,torenvermenigvuldiger,tornin kertoimet,multiplicateur de tour,Turmmultiplikator,πύργος πολλαπλασιαστής,टॉवर गुणक,torony szorzó,moltiplicatore della torre,タワー乗数,타워 승수,Tårnmultiplikator,Mnożnik wieży,Multiplicador de torre,ਟਾਵਰ ਮਲਟੀਪਲਰ,multiplicator de turn,множитель башни,multiplicador de torre,tornmultiplikator,มัลติเพอร์,kule çarpan,множник вежі,Hệ số nhân
additional spaces,Допълнителни пространства,其他空间,další prostory,Yderligere rum,extra spaties,ylimääräiset tilat,Espaces supplémentaires,zusätzliche Räume,πρόσθετοι χώροι,अतिरिक्त स्थान,További terek,Spazi aggiuntivi,追加のスペース,추가 공간,Ytterligere mellomrom,dodatkowe przestrzenie,espaços adicionais,ਵਾਧੂ ਖਾਲੀ ਥਾਂਵਾਂ,spații suplimentare,Дополнительные места,espacios adicionales,Ytterligare utrymmen,พื้นที่เพิ่มเติม,Ek Mekanlar,Додаткові простори,không gian bổ sung
firerate campfire,Оправете лагерния огън,解雇篝火,Střelý táborák,Firerate Campfire,Firerate kampvuur,ampua nuotiota,feu de camp de tir,Firererat Campfire,πυρκαγιά,फायररेट कैम्प फायर,tűzoltó tábortűz,Fireta Campfire,Firerate Campfire,캠프 파이어를 발사하십시오,Fireerat bål,ognisko ogniskowe,Fogo de fogo,ਹਿਲਾਓ ਕੈਂਪਫਾਇਰ,foc de tabără de foc,Пожарный кост,Fire Fire Fire,firate camping,ไฟไหม้แคมป์ไฟ,ateşli kamp ateşi,багаття,lửa trại
money multiplier,Паричен умножител,货币乘数,Multiplikátor peněz,Penge multiplikator,geldvermenigvuldiger,rahankerroin,Multiplicateur d'argent,Geldmultiplikator,πολλαπλασιαστής χρημάτων,पैसा गुणक,Pénz szorzó,moltiplicatore di denaro,お金の乗数,돈 승수,Pengemultiplikator,Mnożnik pieniędzy,multiplicador de dinheiro,ਮਨੀ ਗੁਣਕ,multiplicator de bani,MANE MULTYLIER,multiplicador de dinero,pengar multiplikator,ตัวคูณเงิน,para çarpan,множник грошей,Số nhân tiền
turns into level,превръща се в ниво,变成水平,promění se na úroveň,bliver til niveau,verandert in niveau,muuttua,se transforme en niveau,verwandelt sich in Stufe,μετατρέπεται σε επίπεδο,स्तर में बदल जाता है,szintre alakul,si trasforma in livello,レベルに変わります,레벨로 바뀝니다,blir til nivå,zamienia się w poziom,se transforma em nível,ਪੱਧਰ ਵਿੱਚ ਬਦਲਦਾ ਹੈ,se transformă în nivel,превращается в уровень,se convierte en nivel,förvandlas till nivå,เปลี่ยนเป็นระดับ,seviyeye dönüşüyor,перетворюється на рівень,biến thành cấp độ
tower,кула,塔,věž,tårn,toren,torni,la tour,Turm,πύργος,मीनार,torony,Torre,タワー,탑,tårn,wieża,torre,ਟਾਵਰ,turn,башня,torre,torn,หอคอย,kule,башта,tòa tháp
extra,допълнително,额外的,další,ekstra,extra,ylimääräinen,supplémentaire,extra,επιπλέον,अतिरिक्त,külön-,extra,追加,추가의,ekstra,dodatkowy,extra,ਵਾਧੂ,suplimentar,дополнительный,extra,extra,พิเศษ,ekstra,додатковий,thêm
extra damage against
without status effects
